search_term,natural_language,counts,directionality,search_term_source,category,keep_term
numerales humanitates,osc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tmixʷúlaʔxʷ i siwɬkʷ kʷu l captikʷɬ,oka,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
talasem bantayen kompyutador,pag,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
nigiziibiwaadiminikaaniwin,ojw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitale humanitá,pap,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
bemaadiziwin gadawenimin,ojw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
aghimatang digital,pag,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
bimaadiziwin gidigaa biinjigeeng,ojw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dīgitālēs hūmānitātēs,osc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
zdigitali männitlichkeitswissenschaft,pdc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mazina'igan gikino'amaadiwin gaye anishinaabemowin gikendaasowin,ojw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitəl hiumənətiz,oka,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitali humaniora,pdc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijital humanistik,pcd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
n̓xʷm̓xʷiʔ ɬəxʷiʔ,oka,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
wanta irratti hundaaʼe,om,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
saayinsii namoomaa dijiitaalaa,om,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
sələqw'el p'ilh'o,oka,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
دینیک فرزانگی,pal,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
wakíŋhnaŋ wázhigapi,osa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
informatik keltikez,pcd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
thungiⁿgwa nde thada,osa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
هنرهای دیجیتالی,pal,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
díligchi háwnýútnis,osa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijitał humaniti,pcm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ni-wah-kon patsi-pitsi,osa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digital humanitees,pcm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitale gelehrsamkeit,pdc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ʔəlqʷəmxʷ ʔənəmikʷ,oka,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitaali gschtudierschtuff,pdc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijitaalii namoomaa,om,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
xiyitaal sehdaytiino,aa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitali humanwisseschafde,pfl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ubumenyi bw’ikoranabuhanga mu bintu vy’abantu,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
al-ḥawla al-dijitāliyya li-l-adab,rmt,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
ḍigital ḳaṭa,rmt,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
دیجیټل هانومنووژی,rmt,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
digital humanitiko,rmu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dhajalungaravni,rmu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ḍigitala xaladitka,rmu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitalno manušikane sikljovipena,rmy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitalno manušikano siklipe,rmy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubumuntu bwa digitale,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
abantu b’intagondwa,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubuhinga bwa none mu vy'inyigisho z'ikiremwa muntu,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubumenyi bw'ikoranabuhanga bw'umubare,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubumenyi bw'ikoranabuhanga mu bantu,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubumenyi wa digital,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tebiŋa ya sanaa za kielektroniki,rof,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umuhumeni y'ikomputu,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
inginyo y'amajina digitale,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
vutivi bya dijitali,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
vutivi bya rixaka ra dijitali,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mhòndl'a-dígítál,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
xitshonshi yofikisho digitali,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
inkosi enkululeko yasentombi-ekhulu,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanități digitale,ro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
umanioare digitale,ro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
humanitatea digitală,ro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nda'a nwi'i nda'a nwi'i,rob,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kha'thilak,rob,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dilitil hu'ministis,rob,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
дигиталн шуманистика,rmo,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ḍigitala umanisté,rmo,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dijitali umanisti,rmo,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitalno manušikano džaniben,rmo,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ডিজিটাল হিউম্যানিটিস,rhg,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
khaṭaṅ khaṇḍi,ria,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanitites digitaal,ria,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tayri n tqerqabin,rif,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tinussniwin tudigitalin,rif,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
timanit tadigital,rif,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tigertin n umussu adijital,rif,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tasnhajit n tadawin,rif,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tafugent ṛṛaḥumana,rif,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
الهنسايات الرقمية,rif,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ডিজিটাল মানৱিকতা,rjs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ডিজিটাল মানুয়াল,rjs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ডিজিটাল মানবিক বিজ্ঞান,rkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijitil manav vigyan,rkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ডিজিটাল মানুয়াল্যাস্টিকস্,rkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
humanitads digitalas,rm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanistitga digitala,rm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanitads digitalas,rm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanistica digitala,rm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitala humanistikka,rmf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitaaliko manušikano siklǒvipe,rmf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitaalno manušikano tiede,rmf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitaalno humanitiko,rmf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dijitala umanista,rmf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitaalárustá,rmf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dyjitalni gjuhtitomjini,rmf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digital humanitets,rmf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dīgitali humanitāte,rob,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kūmāndū rūmbō,rof,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanitê digitêl,rgn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
अन्वेषणम् डिजिटलम्,sa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ingabo cy'inka y'amahoro,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
obuhumaniti bwa kidijitali,rwk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mabanga ya dijitali,rwk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digiitali dimuonimi,rwk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ingabo y'ibirunga cy'intarahamwe,rwk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ryūjin bungaku,ryu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
デジタルの人道学,ryu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
デジタルヒューマニティ,ryu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
सङ्गणकमानविकी,sa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
अङ्कीयमानविद्या,sa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
अङ्कीयमानविकी,sa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
डिजिटलमानविकी,sa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dīgitaḥ saṃskṛtāvān,sa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
विज्ञानप्रवेश को डिजिटल,sa,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ditali ḥumaniliyetti,rof,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ǂnū-khoe-di ǂkhommi,sad,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tivu la kibayiti,sad,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kijijini cha dijitali,sad,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digiitali humaaniyti,sad,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tasifika ya digitale,sad,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kɔmputa niŋkpaaŋ,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
diŋitaal humaanities,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dijitali ninsaala baŋsim,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
téyòlòjì ìmọ̀lẹ̀,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dijitali humaaniyali,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ingisilisi digitali,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
цифровой гуманитарнай наукалар,sah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
саннык гуманитарнай наука,sah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
umuhumeni y'igihinsho digitale,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubushakashatsi bw'umuvugizi w'isaha,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubumenyi bw’ikoranabuhanga mu by’abantu,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubumuntu bwo mu ikoranabuhanga,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitalne manušikane znanosti,rom,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitalno manušikane goďa,rom,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitalno manushikane,rom,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
дигиталн шумантичес,rom,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
hạnisi digitạl,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
fai fakamauri faka-digital,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kakai vakalawa,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
numefu digitale,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
faatahi mo e fakamalumotofa digitale,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
дигитальная гуманитарная наука,ru,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
цифровы гуманітарны науки,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ціфрови гуманітарны науки,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
діджітална гуманітарістіка,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
діґіталны гуманітны наукы,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дігітална гуманітарія,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифро́ва гумані́стика,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дыжиталнае гуманітарство,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дигитална људска наука,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kokoraqe dijitolo,rug,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
minatei rorana,rug,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kastom bilong kompyuta,rug,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humani digital,rug,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
takapu talava digitale,rug,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanitate digitalã,rup,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubwoko bw'abantu,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubumenyi bw'ikoranabuhanga mu mico n'umuco,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ubumenyi bwa digitale,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanitê digitala,rgn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanitê digitèli,rgn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitali humanischafte,pfl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
elektronikewey kisi-wolahsultimok,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
nauki cyfrowe,pl,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
umanìstica digital,pms,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanità digitaj,pms,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
διγίταλες ανθρωπολογίες,pnt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijiṭal insānīyatlar,pnt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
διαδυτική χρηματολογία,pnt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
διαδίκτυο ανθρωπινές επιστήμες,pnt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
iren onop kan,pon,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tekinolohi en lokolok,pon,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanities ko me digital,pon,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kamalen kai mwahweh,pon,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mahuw sahl en rihng,pon,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tep ketaidibwilek,pon,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
wapapi-skicinuwatuwakon,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanitas digitala,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kisokehkimaltinuhkewakon,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kikinamitkewiwin,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kespek wolastapkiw kwekesk,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
taqanotkukwesikwewikwesiwiyikwesikwewikwesikwesiwi,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
انسانیات دیجیتال,prd,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
dastane digitaali,prd,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
رېشېز انسانياد,prd,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
دیجیټل هانومنوئیات,prd,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
digitalūs humanitās,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitālai māniskai zinātnes,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
skaitlinės humanistikos,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitale humanae litterae,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
sciensas digitalas de l'ome,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
komputerilisi inimaanit,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitaal humaanitüs,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kamara ya kifasihi,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kipkenda cheechek,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ziffrischi menschlichkait,pfl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitale humànitäts,pfl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
𐤃𐤉𐤂𐤉𐤕𐤋 𐤇𐤌𐤍𐤉𐤌,phn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
חכמת מספרים,phn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
𐤀𐤍𐤔𐤉𐤌 𐤒𐤓𐤉𐤕𐤉𐤌,phn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
𐤃𐤉𐤂𐤉𐤕𐤋 𐤄𐤅𐤌𐤍𐤉𐤕𐤉𐤏𐤎,phn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
𐤔𐤀𐤌𐤍𐤀𐤔𐤏𐤉,phn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
𐤃𐤋िट+,phn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
डिजिटल मानुसिकता,pi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
aṅkasaṅkhyā-mānava-vijjā,pi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ankika manussatta,pi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dīgha mānusa vijjā,pi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dhōmītika mahābhāṣyavāda,pi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
विज्ञानपथपालिक,pi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
diijital huumaniities,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
hümanitarie digitale,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitaal humaniitee,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tidjix digiitti,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dijital hjumaniitizm,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
protectim olketa man,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digital hiumanis,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humani bilong digital,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digit-huminitri,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ditali huumanaitis,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
degital hesifika,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tukuk che kɨtɨlɨɨnɨk che pokot,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kipkonyo che kiptoik,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
scièntias humanas digitals,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
sciéncias numericlas,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
umanitè digitali,rgn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
māhua teki,rap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ruraq yachaykuna rikcha yachaywan,qug,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
runakunapak yachay kamay,qug,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kamay kawsay p'unchay,qug,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
runasimi yachay kawsaypa,qug,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
qunllaw suyyma simpiq,qug,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tinkashamatik inkanakutik,qug,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dhārmik digital,raj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanidades numéricas,rap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
haka'ite tangata tūhā tūhā,rap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
humanita rorohiko,rap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tuhituhi matihiko,rap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tahitenga o te reo matihiko,rap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
huna'a numeraa,rap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
te tangata matihiko i te reo pūmanawa,rap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dinètikà umanistica,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
pūtaiao tāngata rorohiko,rar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mātauranga tātāite,rar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tātai rorohiko tangata,rar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tūtūmau tītī,rar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tātou o le vaitau motu,rar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ngā mahi numera tangata,rar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tautoga o te reo tātai digitālī,rar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tēnā te tūhono ē-pūtaiao,rar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
zistwar nimerik,rcf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
limounèr digitale,rcf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
lètèrès digitâl,rcf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
limiriter digital,rcf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
bhuaji digital,rej,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
yupay yachay,qug,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijital runa yachay,qug,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
xʼaj kʼoq chʼokwaj,quc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
manajerament jun humani digital,quc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
estudi de las humanitats digitals,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ډیجیټل انسانیتونه,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ډیجیټل بشري علوم,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ډیجیټل بشری علوم,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
دجیتالی انسایکلوپیډیا,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ډیجیټل انسانيت,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
دیجیتال بشرونکی,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
dibuma di mitutu mi batu,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mbañga ya bitanda,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mambu ma nzambi ma nkanda,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tiwitikala wa digital,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
liswēlē dījitālē,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digiitali kultuuriteadus,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanidades digitales nisqa,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijital runasimi yachay,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
yachay ruraykuna digitales,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ruraq yachay suntur,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
yachayñan digitalkuna,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kamaykuykuna yachaqunapakuy,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
yachay puktin ñan,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
qamay kusikuy,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tinkay pichqa yachaykuna,qu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tz'ib'anel ruwachulew,quc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ajilal rech tijonïk pa ruwi' nimaläj na'oj,quc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
naʼojil tzijonem rech kaxlan tzij,quc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
choltzijibʼal chomanik,quc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
q'umark'a wachaq,quc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
skaitāntai cilvēkiskai,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
deilugr menntun,non,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
bimaadiziwin digitale,ojb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дижитал хүмүүнлэг ухаан,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ഡിജിറ്റൽ ഹ്യുമാനിറ്റീസ്,ml,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
മാനവരാശി,ml,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ഡിജിറ്റൽ മാനവിക ശാസ്ത്രം,ml,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
