search_term,natural_language,counts,directionality,search_term_source,category,keep_term,directionality_conflict,ltr_languages,rtl_languages
lokottaravada-vijjāvana-vastu,pi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mazina'igan akiinoon,oj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijitul hooministies,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
diggitel hoomans,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dygitahal humunaitis,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digital yen-yen yekan,pih,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digit huminitis,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital hjumaniitii,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digi'laiti hu'maitii,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
degital humi-lait,pis,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ऑनलाइन मानवीयता,mag,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
njom njem ya ngum,maf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kipkendaab kiptaiywaab kompyuta,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digiitali huiminji,maf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
gbere-ngu-ndu-mbu-ngu-ndu,maf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ŋɔ́kɛ̀ tɪ́mɛ̀,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
numeryczne humanistyki,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale huurmanjau,pko,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tajtaketzalis tepalewilis,ppl,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
k'uhun tlātlāyōtl digital,ppl,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ruk'u'x uwachulew chik'ul,quc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mabándá ma búku ma dijitali,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ډیجیټل انسانیتونه,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digrālās humanitātes,lv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ډیجیټل بشریت,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ډیجیټل بشری علوم,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
دجیتالی انسایکلوپیډیا,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ډیجیټل انسانيات,ps,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitālā humanitārīka,lv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mabuku ma dibundu,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitālās humanitāres,lv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mabanza ma digital,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tayala tukangana,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
平窗会海公司,lzh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mba'e'e ndive'ẽ ha'e ambue digital,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale himbunzimi,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mbanga ya ndongo ya mpanda,puu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital runasimi,qu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
yachay runakunamanta digital,qu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
datorzinātnes humanitāriske nozare,lv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ruraq yachaykuna tiknuchasqa,qu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
yachayñan digitalkuna,qu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
yachay puktin yachayruna,qu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
qamay kusikuykunaq,qu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
escrit de las humanitats,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ditjitali umanistica,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dzidigas kalendorių mokslo,ppl,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
цифре дихейуманитарэ,lzz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tlahtoqueh tlacuilolli hua-mānapōchtli,ppl,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
elektronikewey wewitahamsuwakonol,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
pqamawsuwihkik naka digital,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
peskotomuhkati-wolastoqey naka kehsewey naka kisi-kisokehkimal,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kilawitkewi'k,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mji'gogw'tinaq digital,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
taqanot lulunisitikwewin,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
nitaskinan-wisakajik-mi'kmaqamawis,pqm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
رېشېز انسانياد,prd,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitalūs humanitās,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
internet çağdaş ilimler,lzz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
sciéncias numericlas de l'umanitat,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitālai mānsiskai,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijitali humanitepe,lzz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
skaitliskōs humanistikōs,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
skaitāntīngiskai cilvēkiskai,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitale mensur,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
數字文學,lzh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dygytalne humanitaiti,prg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
letras digitalas,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanitats digitals,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitas digitala,pro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
الانسانیات الرقمیة,mey,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
limanite nimérik,mfe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
sains digital seni rupa,mfa,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ligis kewaqutinaq,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanithek digitek,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дигитални умствени науки,mk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрань гуманитарной наукат,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрань гуманитария,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрань ломаньчинь тонавтнема,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитални хуманистички науки,mk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ilmu sosial dan budaya digital,min,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
мольгавикс википедия,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифровой чингелдонь наука,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
penghuanumet digital,min,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дигиталный гуманитаризм,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ditiko himuunyami,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
эрзян кырык худэс,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
niskamij telitukik,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
bumanyi bwa dijitali,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
obusobozi bwa digital mu buntu,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
obumanyifu bwa dijitaali,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kji-kjimujin,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kuumba za kielektroniki,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kisu'lukewey na tujiw,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
wapna'qik niskamijik,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kina'muokuom ta'n telui-wikatikl,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
djitali jumhuriyadda,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дигитални хуманистике,mk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
siŋgúla ǧeččéla,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mɛ́nɛ̀ dʒiˈdʒɪtəl huːmænz,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᡩᡳᠵᡳᠶᠠᡳ ᡥᡡᠮᠠᠨᡳᠨ,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kev pab txog kev pab,mww,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dawg haisub,mww,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дигитал бүтэц зохиол,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
unyanzvi hwerudhivhiti,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
zvinyorwa zvedhijitari,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
munhu wakapinda kana kutsvina,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
hunyanzvi hekufamba nezvigadzirwa zvemagadziri,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ukuvuvi waumashauri digitali,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дигитал хүмүүснэгт,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
murume vanhu veshona,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ဒစ်ဂျစ်တယ် လူသားပညာ,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ဒစ်ဂျစ်တယ် လူ့ဗေဒ,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дижитал хүмүүнлэг ухаан,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ဒစ်ဂျစ်တယ်လူမှုသိပ္ပံ,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ဒီဂျစ်တယ် သမိုင်းပညာ,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ឌីជីថលមនុស្សជាតិវិជ្ជា,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дижитал хүмүүнлэгийн ухаан,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ဒီဇိုင်းအမျိုးသားဘဝင်းရေး,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
inyango za numériki,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mikanda mi nzembo ya mbelo,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
hààlì-dii-gì-tì,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
komputerilahumanistika,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
sikatun sastra adat,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanistiche digitali,nap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
hangarau tangata,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dzidzoret kumanistika,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ticcehuayotl tlamachtiliztli,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tlamatiliztli ixiptlayotl,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tlapouhqui tlamachtilli,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tlapōhualli itechpa tlācatlacayōtl,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tlilli tlahtoāmoxtli,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tlahtōlli-tlācatl-yoltlātl,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tlācayotl ēdōmehuaya,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tlacuilolli yan informatikatl,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanesimo diggitale,nap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܐܢܫܘܬܐ ܕܝܓܝܛܠܝܬܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitá digitale,nap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ǀhuiǂgao ǁkhāǁkhāsib,naq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tjaan-khob toga,naq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dììgìtāl hümàànítì,naq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tsumbukisho tuyufuza,naq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanità digitol,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digiàlles umanitàes,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitalt humanistikk,nb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale menschheit,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale humanistik,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
aronui matihiko,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mātauranga matihiko tangata,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ngā toi matihiko,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
hengemot sapamot,na,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ࡎࡐࡓࡀ ࡃࡌࡀࡃࡏࡀࡕࡀ ࡃࡀࡍࡀࡔࡀ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܡܕܥܐ ܪ̈ܘܚܢܐ ܕܝܓܝܛܠܝܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܕܝܓܝܛܠ ܐܢܫܘܬܐ ܕܝܕܥܬܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܗ̇ܢܘ̈ܬܐ ܕܡܲܢܝܘ̈ܬܐ ܩܲܕܡܝ̈ܬܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܕܝܡܐ ܕܢܘܪܝܢܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tussniwin n tfekka s uselkim,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
timlilit tamazdayt,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tajjant n tɣawsiwin n uḍris,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
te tari hauora pūkaha,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
zhilakal ña'khtuwa,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tigdayut n tudert,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mātauranga pae tātou kōrero,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tawalilt t-tufayl,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
التقنيات الرقمية للبشرية,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
دیجیتال ِ انسانی علوم,mzn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ngā toahanga numera,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
رۊدی ٚ مۊنسۊنی,mzn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
هۆمیالیک ڕانندازی,mzn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kaburete kabi,na,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
reo dijital nōmen,na,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tahuaidika idundunauta,na,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kev kawm txog neeg thiab tshuab,mww,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
puruk kapsiwinu,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
gikendaasowin ezhibii'igaadeg,oj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ဒစ်ဂျစ်တယ် လူမှုဗေဒ,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tìr-tìr-kàl-tìr-bàl-sù,mrd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanistici digitali,mo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
sangsiya dhimashika,mrd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dhilakalapi,mrh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanistica digitală,mo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ŋa'a diŋa-ŋa,mrh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijitalni umjetnosti,mrh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ဘာသာအကြောင်း,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дэлхийн бүтэц,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дижитал хүмүүнэжүгэй,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitats digitale,mrh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ḍigital manav-śastra,mro,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ဒေဂျေတဲလ် ဟျူမဲန်နီတီစ်,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифровой гуманитарный наукывлӓ,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ဒဳဂျဳတေဝ် မနုဿဗေဒ,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифр гуманитарный шӹмлӹмӓш,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ဒေဝါသုခါနိ,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
кодымыжтӧдыш,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифралу кодизе,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
диджиталлам хуманитарлама,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
худыр-элгин ӱлкә,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ненангы ёхтэн кымпьютер төрлә (компьютер-технология) - дыхкын ёхтэ,mns,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
khaṭaṇi kala,mrd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
दिलीજित विज्ञान,mr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
डिजिटल मानवविज्ञान,mr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitate digitală,mo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tekanikonra'ts kahyatónhsera,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
wahta'kwanhsera's tekanowé:ke,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ko:twehkwennion:kwa,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
teiotenonhsothóhsera tsi niionkwatahniráthon,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tsi niionkwarihò:ten tsi nikarihwaká:ron,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kahentawaks kaniatarowanernionhsa,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
sẽn be sebrã pʋgẽ me,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
zanga numidiga,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ninsaale ye kũuni-kãsem,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tshishkuaknik tikivaitimik,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanité-wɛɛnga,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
nipapishit ne-pishimueu,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
nitanisak kuehkutu,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ninsaalbãmb digitaal,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ŋɔkpɛla ŋkpurɛ,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
masinahikanishkueu atusseun,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mishkashkikun e-tshishkueu,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
innuat-aitun nipishapitsheutshuapa,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kɔɔg-bɛriŋ ŋɔɔsɔŋ,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
sawuli wa dila,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
डिजिटल मानव्यविद्या,mr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mruṭhikārī digital,mro,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digiitali muwmiliit,mro,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
sikaké-sikaké séré,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kɔmpyutɛri ni hadamadenya,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
cokv mvhayv cokv enhvteceskv,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᡳᠯᠠᡥᡝ ᡶᡝᠰᡝᠨ,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ᡩᡳᡤᡳᡨᠠᠯ ᠨᡳᠶᠠᠯᠮᠠ ᠪᡝ ᡴᠠᡵᠮᠠᡵᠠ ᠪᡳᡨᡥᡝ,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ꮧꮎꮣ ꭴꮥꮆꮒꭿ ꭶꮪꭲ,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
vnvhvssevssevhv hvahv,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tsalagi tsanvli gvna,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ilaspa vhalvhalvhi,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᡩᡳᡤᡳᡩᠠᠯ ᡥᡠᠮᠠᠨᡳᡩᡟ,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijitalu hamanite,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
hadamadenyako nɔmɔrɔya,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tama jaraati,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ধারনাতমক মানবস্বরী,mro,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
hergen i tacikū,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitaal ŋaŋgɔɔŋ,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
duléjwatu yàfòn,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitá digitali,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
houmanidades digitales,mwl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitales houmanidades,mwl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
n'dĩgĩtālī ĩhũmanī,mwl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ડિજિટલ મનોવિદ્યા,mwr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
simagere sirimanua digital,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
teka sosial digital,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tvlse emponkv,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kompíwta nakcokv-kerretv,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
teknologi sosial digital,mua,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᡠᠡᠴᡠᠨ᠋ ᡳᠯᡠᠨ ᡠᠡᠴᡠᠨ᠋,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanistika diġitali,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanitajiet diġitali,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигиталдун дүйнөлүк тарыхы,mns,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kuɣaʔaŋa pɛlɛsɛ,mns,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
