language_code,language_name,term_source,lingvanex_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,family_name
udm,Udmurt,Digital Humanities,,,,2026-04-19 16:24:50,False,Цифровой гуманитарной наукаос,True,,True,Uralic languages
mgy,Mbunga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
grc,Ancient Greek,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ga,Irish,Digital Humanities,Daonnachtaí Digiteacha,,,2026-04-19 16:24:50,,,,,,Indo-European languages
aro,Araona,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,South American Indian languages
tkt,Kathoriya Tharu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ti,Tigrinya,Digital Humanities,,,,2026-04-19 16:24:50,False,ዲጂታል ሰብኣዊ ስነፍልጠት,False,ሰብኣዊ ባህርያት,True,Afro-Asiatic languages
vls,West Flemish,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
tht,Tahltan,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
to,Tonga,Digital Humanities,,,,2026-04-19 16:24:50,False,Ngaahi Ngaue Fakaetangata Fakakomipiuta,False,"Ngaahi Anga'itangata "" o e Fa'ahinga "" o e Tangatá",True,Austronesian languages
nqo,N’Ko,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
se,Northern Sami,Digital Humanities,,,,2026-04-19 16:24:50,False,Digitála humanisttalaš dieđat,True,,True,Uralic languages
myx,Masaaba,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
tpi,Tok Pisin,Digital Humanities,,,,2026-04-19 16:24:50,False,Dijitel Humanitis,False,Ol Samting Ol Man i Mekim,True,Creoles and pidgins
btv,Bateri,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ann,Obolo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
avk,Kotava,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Artificial languages
lbw,Tolaki,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
zh-classical,Classical Chinese,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Sino-Tibetan languages
nhe,Eastern Huasteca Nahuatl,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
mfe,Morisyen,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Creoles and pidgins
pi,Pāli,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
lag,Langi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
tly,Talysh,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
tli,Tlingit,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
war,Waray / Samar-Leyte Visayan,Digital Humanities,,,,2026-04-19 16:24:50,False,Digital nga Katawhan,True,,True,Austronesian languages
nnh,Ngiemboon,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
grt,Garo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
mro,Mru,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
crm,Moose Cree,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
chk,Chuukese,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
pdc,Pennsylvania German,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
tw,Twi,Digital Humanities,,,,2026-04-19 16:24:50,False,Digitals Nnipa Ho Adesua,False,Nneɛma a Ɛyɛ Hu,True,Niger-Kordofanian languages
non,Old Norse,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
syr,Syriac,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
lbe,Lak,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Caucasian languages
bfq,Badaga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Dravidian languages
tmh,Tamashek,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
tog,Nyasa Tonga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
gay,Gayo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
mrd,Western Magar,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
nod,Northern Thai,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Tai languages
qu,Quechua,Digital Humanities,,,,2026-04-19 16:24:50,False,Humanidades Digitales nisqa,True,,True,South American Indian languages
ary,Moroccan Arabic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
rom,Romany,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
arn,Mapuche,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,South American Indian languages
sux,Sumerian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Language isolate
pms,Piedmontese,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
xal,Kalmyk,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Altaic languages
ty,Tahitian,Digital Humanities,,,,2026-04-19 16:24:50,False,Te mau taata mamati,False,Digital Te mau mea ora o te taata,True,Austronesian languages
lol,Mongo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
aln,Gheg Albanian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
aeb,Tunisian Arabic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
za,"Zhuang, Chuang",Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Tai languages
oj,"Ojibwe, Ojibwa",Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,North American Indian languages
dng,Dungan,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
myv,Erzya,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
crn,Montenegrin,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
bla,Siksiká,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
hnj,Hmong Njua,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Hmong-Mien languages
rn,Kirundi,Digital Humanities,,,,2026-04-19 16:24:50,False,Ubumuntu bwa digitale,False,Abantu b’intagondwa,True,Niger-Kordofanian languages
abq,Abaza,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Caucasian languages
agq,Aghem,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
aoz,Uab Meto,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
bft,Balti,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
ttt,Muslim Tat,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ace,Acehnese,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
akz,Alabama,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
guz,Gusii,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
bej,Beja,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
nso,Northern Sotho,Digital Humanities,,,,2026-04-19 16:24:50,False,Thuto ya Botho ya Dijithale,False,Ditekanyo tša Batho,True,Niger-Kordofanian languages
abr,Abron,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
om,Oromo,Digital Humanities,,,,2026-04-19 16:24:50,False,Saayinsii Namoomaa Dijiitaalaa,False,WANTA IRRATTI HUNDAAʼE,True,Afro-Asiatic languages
bum,Bulu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
csw,Swampy Cree,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
crs,Seselwa Creole French,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Creoles and pidgins
alt,Southern Altai,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
pap,Papiamentu,Digital Humanities,,,,2026-04-19 16:24:50,False,Humanidatnan Digital,False,Di Con Asina Tantu Cos Humano,True,Creoles and pidgins
bal,Baluchi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
arq,Algerian Arabic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
pa,"Panjabi, Punjabi",Digital Humanities,ਡਿਜੀਟਲ ਮਨੁੱਖਤਾ,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bap,Bantawa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
akk,Akkadian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
tok,Toki Pona,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Artificial languages
pon,Pohnpeian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
pqm,Maliseet-Passamaquoddy,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
clc,Chilcotin,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
bgn,Western Balochi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
mwv,Mentawai,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
crk,Plains Cree,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
cay,Cayuga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
cop,Coptic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
nrm,Norman,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
ja,Japanese,Digital Humanities,デジタル人文学,,,2026-04-19 16:24:50,,,,,,Japanese (family)
tru,Turoyo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
bbc,Batak Toba,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
bbj,Ghomala,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
cad,Caddo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
chm,Mari,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
chb,Chibcha,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Central American Indian languages
dgr,Dogrib,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
bfy,Bagheli,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ae,Avestan,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
nch,Central Huasteca Nahuatl,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
cjs,Shor,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
crl,Northern East Cree,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
kam,Kamba,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
tab,Tabassaran,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Caucasian languages
cja,Western Cham,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
men,Mende,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
chn,Chinook Jargon,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Creoles and pidgins
cjm,Eastern Cham,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
cps,Capiznon,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
cgg,Chiga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
kac,Kachin,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
scn,Sicilian,Digital Humanities,,,,2026-04-19 16:24:50,False,Scienzi umanistichi diggitali,True,,True,Indo-European languages
bas,Basaa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
bci,Baoulé,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
bgx,Balkan Gagauz Turkish,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
vi,Vietnamese,Digital Humanities,Nhân văn kỹ thuật số,,,2026-04-19 16:24:50,,,,,,Austro-Asiatic languages
kdt,Kuy,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austro-Asiatic languages
kaw,Kawi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
ts,Tsonga,Digital Humanities,,,,2026-04-19 16:24:50,False,Vutivi bya Vanhu bya Dijitali,False,Vutivi Bya Vanhu,True,Niger-Kordofanian languages
chg,Chagatai,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
kho,Khotanese,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
kca,Khanty,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
kao,Xaasongaxango,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
kck,Kalanga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
ars,Najdi Arabic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
sa,Sanskrit (Saṁskṛta),Digital Humanities,,,,2026-04-19 16:24:50,False,डिजिटल मानविकी,True,,True,Indo-European languages
os,"Ossetian, Ossetic",Digital Humanities,,,,2026-04-19 16:24:50,False,Нымæцон гуманитарон зонæдтæ,True,,True,Indo-European languages
pag,Pangasinan,Digital Humanities,,,,2026-04-19 16:24:50,False,Digital Humanities,False,Saray Manangiyabawag na Too,True,Austronesian languages
crj,Southern East Cree,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
sg,Sango,Digital Humanities,,,,2026-04-19 16:24:50,False,Humanité numérique,False,Gi ti duti na aye mingi ape na yâ ti fini ti mo,True,Nilo-Saharan languages
jml,Jumli,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
als,Alemannic,Digital Humanities,,,,2026-04-19 16:24:50,False,Shkencat Humane Dixhitale,True,,True,Indo-European languages
zh-yue,Cantonese,Digital Humanities,,,,2026-04-19 16:24:50,False,數碼人文,True,,True,Sino-Tibetan languages
nn,Norwegian Nynorsk,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
an,Aragonese,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
kfo,Koro,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
syc,Classical Syriac,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
hno,Northern Hindko,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
mgp,Eastern Magar,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
ccp,Chakma,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
bgc,Haryanvi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
xmf,Megrelian,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Caucasian languages
amo,Amo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
thl,Dangaura Tharu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
kbl,Kanembu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
prg,Prussian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
laj,Lango (Uganda),Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
thq,Kochila Tharu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ojc,Central Ojibwa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
yrk,Nenets,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
hsb,Upper Sorbian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ckt,Chukot,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Chukotko-Kamchatkan languages
koi,Komi-Permyak,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
xnr,Kangri,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
swv,Shekhawati,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
uz_AF,Uzbeki Afghanistan,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Altaic languages
ky,"Kirghiz, Kyrgyz",Digital Humanities,Санариптик гуманитардык илимдер,,,2026-04-19 16:24:50,,,,,,Altaic languages
kea,Kabuverdianu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Creoles and pidgins
chp,Chipewyan,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
ken,Kenyang,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
vmw,Makhuwa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
wni,Ndzwani Comorian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
mak,Makasar,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
tdh,Thulung,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
tdd,Tai Nüa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Tai languages
cch,Atsam,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
rgn,Romagnol,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
sc,Sardinian,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
pam,Kapampangan,Digital Humanities,,,,2026-04-19 16:24:50,False,Digital Humanities,True,,True,Austronesian languages
syi,Seki,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
cy,Welsh,Digital Humanities,Dyniaethau Digidol,,,2026-04-19 16:24:50,,,,,,Indo-European languages
kjh,Khakas,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
kge,Komering,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
umb,Umbundu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
xsa,Sabaean,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
zbl,Blissymbols,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Artificial languages
lua,Luba-Lulua,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
ext,Extremaduran,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
frp,Arpitan / Franco-Provençal,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
egl,Emilian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
kde,Makonde,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
sxn,Sangir,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
kr,Kanuri,Digital Humanities,,,,2026-04-19 16:24:50,False,Ilmu adamganabe zamanbe,True,,True,Nilo-Saharan languages
rng,Ronga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
xsr,Sherpa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
lzh,Literary Chinese,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
mxc,Manyika,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
wbr,Wagdi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
mdt,Mbere,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
gag,Gagauz,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
xog,Soga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
hne,Chhattisgarhi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
luy,Luyia,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
zun,Zuni,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Language isolate
wae,Walser,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
nxq,Naxi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
unx,Munda,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austro-Asiatic languages
yav,Yangben,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
mdh,Maguindanaon,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
unr,Mundari,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austro-Asiatic languages
yue,Cantonese,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
xmr,Meroitic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Language isolate
kxm,Northern Khmer,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austro-Asiatic languages
ksf,Bafia,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
prd,Parsi-Dari,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
hmn,Hmong,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Hmong-Mien languages
sk,Slovak,Digital Humanities,Digitálne humanitné vedy,,,2026-04-19 16:24:50,,,,,,Indo-European languages
sga,Old Irish,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
luo,Luo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
pl,Polish,Digital Humanities,Humanistyka cyfrowa,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ngl,Lomwe,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
sck,Sadri,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
lu,Luba-Katanga,Digital Humanities,,,,2026-04-19 16:24:50,True,,False,BISHINTE BYA KWIFUNDA,True,Niger-Kordofanian languages
scs,North Slavey,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
tig,Tigre,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
fi,Finnish,Digital Humanities,Digitaaliset humanistiset tieteet,,,2026-04-19 16:24:50,,,,,,Uralic languages
osc,Oscan,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
lif,Limbu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
khb,Lü,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Tai languages
iba,Iban,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
ter,Tereno,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,South American Indian languages
rof,Rombo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
teo,Teso,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
nzi,Nzima,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
da,Danish,Digital Humanities,Digital humaniora,,,2026-04-19 16:24:50,,,,,,Indo-European languages
gez,Geez,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
ug,"Uighur, Uyghur",Digital Humanities,رەقەملىك ئادىمىيەت,,,2026-04-19 16:24:50,,,,,,Altaic languages
maf,Mafa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
ia,Interlingua,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Artificial languages
zdj,Ngazidja Comorian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
slh,Southern Lushootseed,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
hil,Hiligaynon,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
zgh,Standard Moroccan Tamazight,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
yua,Yucateco,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Central American Indian languages
nhw,Western Huasteca Nahuatl,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
hoj,Hadothi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
frm,Middle French,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
lah,Western Panjabi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ab,Abkhaz,Digital Humanities,,,,2026-04-19 16:24:50,False,Ацифратә гуманитартә ҵарақәа,True,,True,Caucasian languages
ikt,Western Canadian Inuktitut,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Eskimo-Aleut languages
liv,Livonian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
mvy,Indus Kohistani,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
vai,Vai,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
dar,Dargwa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Caucasian languages
ca,Catalan; Valencian,Digital Humanities,Humanitats Digitals,,,2026-04-19 16:24:50,,,,,,Indo-European languages
nds-nl,Dutch Low Saxon,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
uk,Ukrainian,Digital Humanities,Цифрові гуманітарні,,,2026-04-19 16:24:50,,,,,,Indo-European languages
mr,Marathi (Marāṭhī),Digital Humanities,डिजिटल मानवता,,,2026-04-19 16:24:50,,,,,,Indo-European languages
del,Delaware,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
peo,Old Persian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
izh,Ingrian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
haz,Hazaragi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
hnn,Hanunoo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
mua,Mundang,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
mtr,Mewari,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
kcg,Tyap,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
mic,Mi'kmaw,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
lep,Lepcha,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
zza,Zaza,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
hdn,Northern Haida,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Language isolate
ibb,Ibibio,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
rmt,Domari,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ude,Udihe,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
